country,activeworkers,keystrokes ,mouseevents,dayoftheweek,hour
Argentina,0.0301923077,153.015184471,35.6987323762,6,15
Argentina,0.0326282051,144.5789316595,40.4892142573,6,16
Argentina,0.0321153846,149.4234540113,44.4702575057,6,17
Argentina,0.0338461538,161.8207361431,44.9192872261,6,18
Argentina,0.0360897436,158.1302389722,45.311668215,6,19
Argentina,0.0374358974,153.8295758176,43.3615612276,6,20
Argentina,0.0323717949,136.0973515163,40.3296973096,6,21
Argentina,0.0250641026,141.089921286,41.8483577166,6,22
Argentina,0.0242948718,157.2163382333,44.5430163208,6,23
Armenia,0.0327838828,104.3962044923,47.457242615,0,0
Armenia,0.0248168498,103.6617497309,46.9367786377,0,1
Armenia,0.018487395,94.5060836725,45.1837852954,0,2
Armenia,0.0134391534,96.160570115,50.7572912532,0,3
Armenia,0.0101343101,45.9906834394,26.3151599051,0,4
Armenia,0.0098343685,41.9961889108,29.2259980934,0,5
Armenia,0.0115646259,80.7020207192,44.2230204691,0,6
Armenia,0.0146666667,96.7400223288,47.1213929651,0,7
Armenia,0.0279178338,71.5743752554,37.469747268,0,8
Armenia,0.0515406162,92.4861256146,43.3262724697,0,9
Armenia,0.0767507003,95.2758074974,48.4978448055,0,10
Armenia,0.0962651727,91.6215004248,50.7473534761,0,11
Armenia,0.1066849817,101.151421975,52.2723937071,0,12
Armenia,0.1153846154,109.7410936175,48.9767974248,0,13
Armenia,0.1175824176,111.5136312166,52.9048831454,0,14
Armenia,0.1159340659,110.9916580648,57.0692817581,0,15
Armenia,0.1168498168,107.3195562314,61.2623761841,0,16
Armenia,0.1129120879,107.0289325325,60.9876798354,0,17
Armenia,0.105952381,106.5609897539,60.5766448672,0,18
Armenia,0.0922161172,107.5945165735,59.6075777868,0,19
Armenia,0.0806776557,108.0726925469,55.5768912888,0,20
Armenia,0.0685897436,112.5554643313,51.9558158726,0,21
Armenia,0.0580586081,112.6247511128,49.2283276804,0,22
Armenia,0.0522893773,109.5764570453,47.132280595,0,23
Armenia,0.0413919414,104.7924958612,52.8055802376,1,0
Armenia,0.0286630037,107.8798397485,53.3808832463,1,1
Armenia,0.0201166181,74.2778765805,57.3670873225,1,2
Armenia,0.0127705628,80.8410453865,65.326243693,1,3
Armenia,0.0099883856,67.0392408731,47.8988685842,1,4
Armenia,0.0127917834,61.3762635881,46.758192995,1,5
Armenia,0.0148459384,87.1268951608,49.0468000969,1,6
Armenia,0.0179271709,103.7183260747,46.3484082691,1,7
Armenia,0.0311858077,89.5500647086,43.7788529636,1,8
Armenia,0.0552197802,89.1257903519,42.7185941718,1,9
Armenia,0.0828754579,91.674896964,45.6323967073,1,10
Armenia,0.1012820513,97.8695756511,49.2578659359,1,11
Armenia,0.1123626374,103.8483562581,50.2413039451,1,12
Armenia,0.1202380952,101.9280499071,47.6679529257,1,13
