Country,Day,Hour,Workers
Belarus,5,12,240.0961538462
Belarus,5,13,249.7692307692
Belarus,5,14,261.9038461538
Belarus,5,15,266.8653846154
Belarus,5,16,251.7884615385
Belarus,5,17,215.1538461538
Belarus,5,18,183.1346153846
Belarus,5,19,151.5384615385
Belarus,5,20,127.1346153846
Belarus,5,21,105.5192307692
Belarus,5,22,83.4230769231
Belarus,5,23,69.9807692308
Belarus,6,0,57.1153846154
Belarus,6,1,41.8076923077
Belarus,6,2,36.2307692308
Belarus,6,3,29.9230769231
Belarus,6,4,23.0576923077
Belarus,6,5,20.0769230769
Belarus,6,6,18.9423076923
Belarus,6,7,23.0384615385
Belarus,6,8,27.4230769231
Belarus,6,9,40.5
Belarus,6,10,57
Belarus,6,11,68.9423076923
Belarus,6,12,79.25
Belarus,6,13,85.4807692308
Belarus,6,14,89.9807692308
Belarus,6,15,90.8461538462
Belarus,6,16,86.7884615385
Belarus,6,17,85.1730769231
Belarus,6,18,79.7115384615
Belarus,6,19,74.6923076923
Belarus,6,20,72.1153846154
Belarus,6,21,70.1730769231
Belarus,6,22,61.4423076923
Belarus,6,23,55.7115384615
Bolivia,0,0,21.5192307692
Bolivia,0,1,15.4230769231
Bolivia,0,2,9.7692307692
Bolivia,0,3,5.9423076923
Bolivia,0,4,4.5961538462
Bolivia,0,5,4.6923076923
Bolivia,0,6,6.6346153846
Bolivia,0,7,11.9615384615
Bolivia,0,8,20.6923076923
Bolivia,0,9,28.9807692308
Bolivia,0,10,41.1538461538
Bolivia,0,11,48.3461538462
Bolivia,0,12,46.6346153846
Bolivia,0,13,42.0769230769
Bolivia,0,14,46.4230769231
Bolivia,0,15,53.6346153846
Bolivia,0,16,52.7692307692
Bolivia,0,17,49.9807692308
Bolivia,0,18,46.3461538462
Bolivia,0,19,39.0384615385
Bolivia,0,20,22.3461538462
Bolivia,0,21,20.1538461538
Bolivia,0,22,19.3653846154
Bolivia,0,23,16.8461538462
Bolivia,1,0,12.8846153846
